ID,Name,Studio,Rotten,Genre,Domestic,Budget
297,It's Complicated ,Universal,56,Comedy,112.73,85
298,J.Edgar,Warner Bros,42,Drama,37.31,35
299,Jack and Jill,Happy Madison,4,Comedy,74.16,79
300,Jack Reacher,Par.,61,Action,80.070736,60
301,Jack the Giant Slayer,Warner Bros,52,Adventure,65.187603,195
302,Jackass 3-D,Paramount,63,Documentary,117.23,20
303,Jennifer's Body ,Fox,42,Comedy,16.20,16
304,Jobs,Open Road Films,27,Drama,16.13141,12
305,John Carter,BV,51,Action,73.0781,250
306,John Dies at the End,Magnolia,61,Horror,0.141951,1
307,Johnny English Reborn,Relativity Media,38,Comedy,8.31,45
308,Jonah Hex,Warner Bros.,13,Action,10.55,47
309,Journey 2: The Mysterious Island,WB,52,Adventure,103.86029,79
310,Journey to the Center of the Earth,Warner Bros.,61,Action,101.70,45
311,Jumper,Fox,16,Action,80.17,82.5
312,Juno,Fox,94,Comedy,143.50,100
313,Just Go With It,Happy Madison,19,Romance,103.03,80
314,Just Wright,Fox,45,Comedy,21.54,12
315,Katy Perry: Part of Me,Par.,78,Documentary,25.326071,12
316,Kick-Ass,Independent,76,Action,48.07,30
317,Kick-Ass 2,Universal,29,Action,28.795985,28
318,Killer Elite,Independent,25,Action,25.12,70
319,Killers,Lionsgate,11,Action,47.06,75
320,Kit Kittredge: An American Girl,Warner Bros.,78,Drama,17.66,10
321,Knight and Day,Fox,53,Action,76.42,117
322,Knocked Up,Universal,91,Comedy,148.77,6
323,Knowing ,Summit,33,Drama,79.95,50
324,Kung Fu Panda,Paramount,88,Animation,215.43,200
325,Kung Fu Panda 2,DreamWorks Animation,82,Animation,165.25,150
326,Land of the Lost ,Universal,26,Drama,49.43,100
327,Larry Crowne,Universal,34,Drama,35.61,30
328,Last Vegas,CBS,47,Comedy,63.749942,28
329,Leap Year,Universal,21,Comedy,25.92,19
330,Leatherheads,Universal,52,Comedy,31.37,58
331,Legend of the Guardians: The Owls of Ga'Hoole,Warner Bros.,51,Animation,55.68,80
332,Legion,Independent,19,Action,40.17,26
333,Les Miserables (2012),Uni.,70,Drama,148.80977,61
334,Letters to Juliet,Summit,40,Comedy,53.03,30
335,License to Wed,Warner Bros.,8,Comedy,43.80,150
336,Life as We Know It,Independent,28,Comedy,53.13,52.274
337,Life of Pi,Fox,87,Adventure,124.987023,120
338,Limitless,Virgin,69,Thriller,79.25,27
339,Lions for Lambs,Independent,27,Drama,15.00,60
340,Little Fockers,Independent,9,Comedy,148.44,100
341,Live Free or Die Hard,Fox,79,Action,134.53,47
342,Lone Survivor,Universal,74,Action,93.914921,40
343,Looper,TriS,93,Action,66.486205,30
344,Love & Other Drugs,Fox,48,Comedy,32.37,30
345,Love Happens ,Universal,18,Drama,22.96,18
346,Lovelace, Radius-TWC,55,Drama,0.356582,10
347,MacGruber,Independent,47,Action,8.53,10
348,Machete,Independent,73,Action,26.59,20
349,Machete Kills,Open Road Films,29,Action,8.008161,12
350,Machine Gun Preacher,Lionsgate,29,Action,0.54,30
351,Mad Money,Independent,22,Comedy,20.67,22
352,Madagascar 3: Europe's Most Wanted,P/DW,79,Animation,216.391482,145
353,Madagascar: Escape 2 Africa,Paramount,64,Animation,180.01,150
354,Made of Honor,Sony,13,Comedy,46.01,40
355,Magic Mike,WB,80,Comedy,113.721571,7
356,Mama,Universal,66,Horror,71.62818,15
357,Mamma Mia!,Universal,53,Comedy,144.13,66
358,Man of Steel,Warner Bros,55,Action,291.045518,225
359,Man on a Ledge,LG/S,32,Action,18.62,42
360,Margin Call,Independent,86,Thriller,5.35,3.5
361,Marley and Me,Fox,63,Comedy,143.15,55
362,Marmaduke,Fox,9,Comedy,33.64,50
363,Mars Needs Moms,Disney,36,Animation,21.39,150
364,Marvel's The Avengers,BV,92,Action,623.35791,220
365,Max Payne,Fox,16,Action,40.69,35
366,Meet Dave,Fox,19,Adventure,11.80,60
367,Meet the Robinsons,Disney,66,Animation,97.82,15
368,Meet the Spartans,Independent,2,Comedy,38.23,30
369,Megamind,Paramount,72,Animation,148.42,130
370,MIB 3,Sony,70,Action,179.020854,225
371,Michael Clayton,Independent,90,Thriller,49.03,300
372,Michael Jackson's This Is It ,Sony,81,Documentary,72.10,60
373,Midnight in Paris,Sony,93,Romance,56.82,17
374,Miracle at St. Anna,Disney,34,Action,7.92,45
375,Mirror Mirror,Rela.,49,Adventure,64.935167,85
376,Mirrors,Independent,14,Horror,30.69,35
377,Miss Pettigrew Lives for a Day,Independent,78,Comedy,12.31,60
378,Mission Impossible 4,Paramount,93,Action,209.39,145
379,Moneyball,Columbia,95,Drama,75.60,50
380,Monsters University,Buena Vista,78,Animation,268.492764,200
381,Monsters Vs. Aliens ,Paramount,72,Animation,198.40,175
382,Monte Carlo,20th Century Fox,38,Romance,23.19,20
383,Moonrise Kingdom,Focus,94,Adventure,45.512466,16
384,Morning Glory,Independent,54,Comedy,31.01,40
385,Movie 43,Relativity,4,Comedy,8.840453,6
386,Mr. Brooks,MGM,56,Thriller,28.55,140
387,Mr. Popper's Penguins,20th Century Fox,47,Comedy,68.22,55
388,Music and Lyrics,Warner Bros.,63,Romance,50.57,130
389,My Best Friend's Girl,Lionsgate,14,Comedy,19.22,20
390,My Life in Ruins ,Independent,9,Comedy,8.67,17
391,My Sister's Keeper ,Warner Bros.,47,Drama,49.20,27.5
392,My Soul to Take,Relativity Media,9,Horror,14.74,25
393,My Week with Marilyn,The Weinstein Company,83,Drama,14.60,10
394,Nancy Drew,Independent,49,Thriller,25.61,70
395,Nanny McPhee Returns,Universal,77,Comedy,29.01,35
396,National Treasure: Book of Secrets,Disney,31,Thriller,219.96,85
397,Nebraska,Paramount,92,Drama,11.7204,12
398,Never Back Down,Summit,23,Action,24.85,21
399,Never Let Me Go,Independent,70,Drama,2.43,15
400,New Year's Eve,Warner Bros.,8,Romance,54.54,56
401,Next,Paramount,29,Thriller,18.21,21
402,Next Day Air ,Summit,21,Action,10.00,3
403,Nick and Norah's Infinite Playlist,Sony,73,Comedy,31.49,10
404,Night at the Museum: Battle of the Smithsonian ,Fox,43,Action,177.20,150
405,Nights in Rodanthe,Warner Bros.,31,Drama,41.85,30
406,Nim's Island,Independent,51,Adventure,48.01,37
407,Nine ,Weinstein Co.,37,Drama,19.67,80
408,Ninja Assassin ,Warner Bros.,25,Action,38.12,50
409,No Country for Old Men,Paramount,95,Drama,74.28,48
410,No Reservations,,39,Comedy,43.11,14
411,No Strings Attached,Spyglass Entertainment,49,Comedy,70.66,25
412,Norbit,Paramount,9,Comedy,95.67,53
413,Not Easily Broken ,Independent,34,Drama,10.60,5
414,Now You See Me,Lionsgate / Summit,50,Thriller,117.723989,75
415,Oblivion,Universal,53,Action,89.107235,120
416,Observe and Report ,Warner Bros.,51,Comedy,24.00,18
417,Obsessed ,Sony,20,Drama,68.26,20
418,Ocean's 13,Warner Bros.,70,Thriller,117.15,20
419,Old Dogs ,Buena Vista,5,Comedy,49.49,35
420,Oldboy,FilmDistrict,43,Thriller,2.193658,30
421,Olympus Has Fallen,FilmDistrict,48,Action,98.92564,70
422,One Day,Independent,37,Romance,13.84,15
423,One Missed Call,Warner Bros.,0,Horror,26.89,20
424,Orphan ,Warner Bros.,55,Horror,41.59,30
425,Our Idiot Brother,The Weinstein Company,68,Comedy,24.82,5
426,Over Her Dead Body,New Line,15,Comedy,7.56,10
427,Oz The Great & Powerful,Buena Vista,59,Adventure,234.911825,215
428,P.S. I Love You,Independent,21,Romance,53.70,75
429,Pacific Rim,Warner Bros,71,Action,101.802906,190
430,Pandorum ,Independent,28,Action,10.30,40
431,Paranoia,Relativity,4,Thriller,7.385015,35
432,Paranormal Activity ,Independent,82,Horror,107.92,0.015
433,Paranormal Activity 2,Paramount,,Horror,84.75,3
434,Paranormal Activity 3,Independent,68,Horror,104.03,5
435,Paranormal Activity 4,Par.,24,Horror,53.9213,5
436,ParaNorman,Focus,87,Animation,56.003051,60
437,Parental Guidance,Fox,18,Comedy,77.267296,25
438,Pathfinder: Legend of the Ghost Warrior,,11,Action,10.23,20
439,Paul,Relativity,72,Comedy,37.41,40
440,Paul Blart: Mall Cop ,Sony,33,Action,146.33,26
441,Penelope,Summit,52,Comedy,10.01,15
